type,size
DIDSON,53
DIDSON,53
DIDSON,53
DIDSON,53
DIDSON,53
DIDSON,53
DIDSON,53
DIDSON,53
DIDSON,53
DIDSON,51
DIDSON,47
DIDSON,49
DIDSON,48
DIDSON,57
DIDSON,57
DIDSON,49
DIDSON,46
DIDSON,51
DIDSON,48
DIDSON,44
DIDSON,54
DIDSON,53
DIDSON,51
DIDSON,48
DIDSON,58
DIDSON,58
DIDSON,63
DIDSON,43
DIDSON,57
DIDSON,53
DIDSON,47
DIDSON,43
DIDSON,49
DIDSON,39
DIDSON,52
DIDSON,63
DIDSON,63
DIDSON,28
DIDSON,55
DIDSON,61
DIDSON,65
DIDSON,71
DIDSON,49
DIDSON,64
DIDSON,59
DIDSON,46
DIDSON,62
DIDSON,59
DIDSON,62
DIDSON,59
DIDSON,63
DIDSON,67
DIDSON,52
DIDSON,58
DIDSON,67
DIDSON,54
DIDSON,70
DIDSON,52
DIDSON,58
DIDSON,51
DIDSON,59
DIDSON,65
DIDSON,57
DIDSON,55
DIDSON,57
DIDSON,57
DIDSON,59
DIDSON,48
DIDSON,53
DIDSON,48
DIDSON,62
DIDSON,47
DIDSON,48
DIDSON,46
DIDSON,51
DIDSON,50
DIDSON,63
DIDSON,67
DIDSON,61
DIDSON,46
DIDSON,52
DIDSON,46
DIDSON,67
DIDSON,63
DIDSON,58
DIDSON,62
DIDSON,67
DIDSON,62
DIDSON,53
DIDSON,47
DIDSON,68
DIDSON,45
DIDSON,55
DIDSON,29
DIDSON,58
DIDSON,32
DIDSON,58
DIDSON,31
DIDSON,55
DIDSON,40
DIDSON,63
DIDSON,60
DIDSON,41
DIDSON,48
DIDSON,67
DIDSON,55
DIDSON,58
DIDSON,62
DIDSON,53
DIDSON,41
DIDSON,53
DIDSON,60
DIDSON,47
DIDSON,38
DIDSON,43
DIDSON,45
DIDSON,49
DIDSON,51
DIDSON,58
DIDSON,59
DIDSON,53
DIDSON,47
DIDSON,41
DIDSON,49
DIDSON,44
DIDSON,55
DIDSON,52
DIDSON,52
DIDSON,46
DIDSON,40
DIDSON,40
DIDSON,39
DIDSON,58
DIDSON,32
DIDSON,59
DIDSON,38
DIDSON,47
DIDSON,79
DIDSON,79
DIDSON,40
DIDSON,62
DIDSON,76
DIDSON,64
DIDSON,48
DIDSON,70
DIDSON,68
DIDSON,62
DIDSON,67
DIDSON,56
DIDSON,55
DIDSON,65
DIDSON,52
DIDSON,67
DIDSON,70
DIDSON,71
DIDSON,55
DIDSON,67
DIDSON,69
DIDSON,58
DIDSON,60
DIDSON,57
DIDSON,65
DIDSON,64
DIDSON,57
DIDSON,65
DIDSON,63
DIDSON,55
DIDSON,58
DIDSON,68
DIDSON,59
DIDSON,57
DIDSON,54
DIDSON,51
DIDSON,49
DIDSON,53
DIDSON,65
DIDSON,58
DIDSON,62
DIDSON,59
DIDSON,57
DIDSON,48
DIDSON,56
DIDSON,53
DIDSON,58
DIDSON,45
DIDSON,61
DIDSON,58
DIDSON,53
DIDSON,58
DIDSON,56
DIDSON,37
DIDSON,59
DIDSON,60
DIDSON,70
DIDSON,68
DIDSON,68
DIDSON,72
DIDSON,59
DIDSON,48
DIDSON,68
DIDSON,61
DIDSON,52
DIDSON,61
DIDSON,55
DIDSON,63
DIDSON,58
DIDSON,53
DIDSON,79
DIDSON,55
DIDSON,65
DIDSON,55
DIDSON,52
DIDSON,64
DIDSON,51
DIDSON,52
DIDSON,48
DIDSON,52
DIDSON,68
DIDSON,57
DIDSON,60
DIDSON,65
DIDSON,69
DIDSON,47
DIDSON,72
DIDSON,57
DIDSON,53
DIDSON,57
DIDSON,55
DIDSON,76
DIDSON,38
DIDSON,78
DIDSON,43
DIDSON,58
DIDSON,64
DIDSON,69
DIDSON,60
DIDSON,62
DIDSON,51
DIDSON,46
DIDSON,65
DIDSON,59
DIDSON,47
DIDSON,63
DIDSON,71
DIDSON,49
DIDSON,58
DIDSON,45
DIDSON,45
DIDSON,38
DIDSON,55
DIDSON,51
DIDSON,55
DIDSON,40
DIDSON,45
DIDSON,42
DIDSON,63
DIDSON,49
DIDSON,54
DIDSON,57
DIDSON,59
DIDSON,53
DIDSON,53
DIDSON,40
DIDSON,48
DIDSON,49
DIDSON,43
DIDSON,50
DIDSON,48
DIDSON,50
DIDSON,48
DIDSON,60
DIDSON,47
DIDSON,62
DIDSON,35
DIDSON,53
DIDSON,55
DIDSON,64
DIDSON,38
DIDSON,59
DIDSON,65
DIDSON,63
DIDSON,57
DIDSON,63
DIDSON,40
DIDSON,54
DIDSON,42
DIDSON,56
