Date,Hour,DateTime,Count
20/04/2016,6:00:00,20/04/2016 6:00,971
20/04/2016,18:00:00,20/04/2016 18:00,17590
20/04/2016,20:00:00,20/04/2016 20:00,108954
20/04/2016,21:00:00,20/04/2016 21:00,282222
20/04/2016,22:00:00,20/04/2016 22:00,158839
20/04/2016,23:00:00,20/04/2016 23:00,198971
21/04/2016,0:00:00,21/04/2016 0:00,292790
21/04/2016,1:00:00,21/04/2016 1:00,232745
21/04/2016,2:00:00,21/04/2016 2:00,121148
21/04/2016,3:00:00,21/04/2016 3:00,41281
21/04/2016,4:00:00,21/04/2016 4:00,130042
21/04/2016,5:00:00,21/04/2016 5:00,37801
21/04/2016,6:00:00,21/04/2016 6:00,200
21/04/2016,17:00:00,21/04/2016 17:00,318873
21/04/2016,18:00:00,21/04/2016 18:00,161847
21/04/2016,19:00:00,21/04/2016 19:00,27866
21/04/2016,20:00:00,21/04/2016 20:00,109042
21/04/2016,21:00:00,21/04/2016 21:00,415340
21/04/2016,22:00:00,21/04/2016 22:00,456249
21/04/2016,23:00:00,21/04/2016 23:00,353368
22/04/2016,0:00:00,22/04/2016 0:00,267482
22/04/2016,1:00:00,22/04/2016 1:00,168225
22/04/2016,2:00:00,22/04/2016 2:00,93375
22/04/2016,3:00:00,22/04/2016 3:00,77587
22/04/2016,4:00:00,22/04/2016 4:00,55068
22/04/2016,5:00:00,22/04/2016 5:00,44474
22/04/2016,6:00:00,22/04/2016 6:00,22619
22/04/2016,16:00:00,22/04/2016 16:00,21
22/04/2016,20:00:00,22/04/2016 20:00,95343
22/04/2016,21:00:00,22/04/2016 21:00,179401
22/04/2016,22:00:00,22/04/2016 22:00,145301
22/04/2016,23:00:00,22/04/2016 23:00,143544
23/04/2016,0:00:00,23/04/2016 0:00,437526
23/04/2016,1:00:00,23/04/2016 1:00,402615
23/04/2016,2:00:00,23/04/2016 2:00,419738
23/04/2016,3:00:00,23/04/2016 3:00,586964
23/04/2016,4:00:00,23/04/2016 4:00,402442
23/04/2016,5:00:00,23/04/2016 5:00,442556
23/04/2016,6:00:00,23/04/2016 6:00,201646
23/04/2016,7:00:00,23/04/2016 7:00,18584
23/04/2016,11:00:00,23/04/2016 11:00,107429
23/04/2016,12:00:00,23/04/2016 12:00,724331
23/04/2016,13:00:00,23/04/2016 13:00,478721
23/04/2016,14:00:00,23/04/2016 14:00,547119
23/04/2016,15:00:00,23/04/2016 15:00,474264
23/04/2016,16:00:00,23/04/2016 16:00,381748
23/04/2016,17:00:00,23/04/2016 17:00,233354
23/04/2016,18:00:00,23/04/2016 18:00,204381
23/04/2016,19:00:00,23/04/2016 19:00,56684
23/04/2016,20:00:00,23/04/2016 20:00,279848
23/04/2016,21:00:00,23/04/2016 21:00,842056
23/04/2016,22:00:00,23/04/2016 22:00,882717
23/04/2016,23:00:00,23/04/2016 23:00,378798
24/04/2016,0:00:00,24/04/2016 0:00,284330
24/04/2016,1:00:00,24/04/2016 1:00,304733
24/04/2016,2:00:00,24/04/2016 2:00,218974
24/04/2016,3:00:00,24/04/2016 3:00,158263
24/04/2016,4:00:00,24/04/2016 4:00,63551
24/04/2016,5:00:00,24/04/2016 5:00,16839
24/04/2016,6:00:00,24/04/2016 6:00,11661
24/04/2016,20:00:00,24/04/2016 20:00,22715
24/04/2016,21:00:00,24/04/2016 21:00,80911
24/04/2016,22:00:00,24/04/2016 22:00,51362
24/04/2016,23:00:00,24/04/2016 23:00,110252
25/04/2016,0:00:00,25/04/2016 0:00,126069
25/04/2016,1:00:00,25/04/2016 1:00,159108
25/04/2016,2:00:00,25/04/2016 2:00,160116
25/04/2016,3:00:00,25/04/2016 3:00,146310
25/04/2016,4:00:00,25/04/2016 4:00,87719
25/04/2016,5:00:00,25/04/2016 5:00,141072
25/04/2016,6:00:00,25/04/2016 6:00,2667
25/04/2016,13:00:00,25/04/2016 13:00,317228
25/04/2016,14:00:00,25/04/2016 14:00,442013
25/04/2016,15:00:00,25/04/2016 15:00,58227
25/04/2016,16:00:00,25/04/2016 16:00,13377
25/04/2016,18:00:00,25/04/2016 18:00,12623
25/04/2016,20:00:00,25/04/2016 20:00,177106
25/04/2016,21:00:00,25/04/2016 21:00,635900
25/04/2016,22:00:00,25/04/2016 22:00,128210
25/04/2016,23:00:00,25/04/2016 23:00,171626
26/04/2016,0:00:00,26/04/2016 0:00,187672
26/04/2016,1:00:00,26/04/2016 1:00,152047
26/04/2016,2:00:00,26/04/2016 2:00,111850
26/04/2016,3:00:00,26/04/2016 3:00,126745
26/04/2016,4:00:00,26/04/2016 4:00,84892
26/04/2016,5:00:00,26/04/2016 5:00,87924
26/04/2016,6:00:00,26/04/2016 6:00,13638
26/04/2016,20:00:00,26/04/2016 20:00,106729
26/04/2016,21:00:00,26/04/2016 21:00,219225
26/04/2016,22:00:00,26/04/2016 22:00,69007
26/04/2016,23:00:00,26/04/2016 23:00,53949
27/04/2016,0:00:00,27/04/2016 0:00,72602
27/04/2016,1:00:00,27/04/2016 1:00,49000
27/04/2016,2:00:00,27/04/2016 2:00,52991
27/04/2016,3:00:00,27/04/2016 3:00,32941
27/04/2016,4:00:00,27/04/2016 4:00,41180
27/04/2016,5:00:00,27/04/2016 5:00,10473
27/04/2016,6:00:00,27/04/2016 6:00,1907
27/04/2016,20:00:00,27/04/2016 20:00,29430
27/04/2016,21:00:00,27/04/2016 21:00,120662
27/04/2016,22:00:00,27/04/2016 22:00,225877
27/04/2016,23:00:00,27/04/2016 23:00,154190
28/04/2016,0:00:00,28/04/2016 0:00,79376
28/04/2016,1:00:00,28/04/2016 1:00,97086
28/04/2016,2:00:00,28/04/2016 2:00,79785
28/04/2016,3:00:00,28/04/2016 3:00,54059
28/04/2016,4:00:00,28/04/2016 4:00,38030
28/04/2016,5:00:00,28/04/2016 5:00,64622
28/04/2016,6:00:00,28/04/2016 6:00,456
28/04/2016,15:00:00,28/04/2016 15:00,80344
28/04/2016,16:00:00,28/04/2016 16:00,19308
28/04/2016,18:00:00,28/04/2016 18:00,15744
28/04/2016,19:00:00,28/04/2016 19:00,24084
28/04/2016,20:00:00,28/04/2016 20:00,56333
28/04/2016,21:00:00,28/04/2016 21:00,172518
28/04/2016,22:00:00,28/04/2016 22:00,102213
28/04/2016,23:00:00,28/04/2016 23:00,118920
29/04/2016,0:00:00,29/04/2016 0:00,157023
29/04/2016,1:00:00,29/04/2016 1:00,133460
29/04/2016,2:00:00,29/04/2016 2:00,102679
29/04/2016,3:00:00,29/04/2016 3:00,98315
29/04/2016,4:00:00,29/04/2016 4:00,74182
29/04/2016,5:00:00,29/04/2016 5:00,37821
29/04/2016,6:00:00,29/04/2016 6:00,4669
29/04/2016,14:00:00,29/04/2016 14:00,29976
29/04/2016,15:00:00,29/04/2016 15:00,16568
29/04/2016,20:00:00,29/04/2016 20:00,163778
29/04/2016,21:00:00,29/04/2016 21:00,431430
29/04/2016,22:00:00,29/04/2016 22:00,285225
29/04/2016,23:00:00,29/04/2016 23:00,117345
30/04/2016,0:00:00,30/04/2016 0:00,175829
30/04/2016,1:00:00,30/04/2016 1:00,40889
30/04/2016,2:00:00,30/04/2016 2:00,49555
30/04/2016,3:00:00,30/04/2016 3:00,120585
30/04/2016,4:00:00,30/04/2016 4:00,256172
30/04/2016,5:00:00,30/04/2016 5:00,244854
30/04/2016,6:00:00,30/04/2016 6:00,16426
30/04/2016,10:00:00,30/04/2016 10:00,383249
30/04/2016,11:00:00,30/04/2016 11:00,654600
30/04/2016,12:00:00,30/04/2016 12:00,577166
30/04/2016,13:00:00,30/04/2016 13:00,429099
30/04/2016,14:00:00,30/04/2016 14:00,289844
30/04/2016,15:00:00,30/04/2016 15:00,243046
